period,ratio,subject
2026-01-05,50.38227,target
2026-01-06,48.49123,target
2026-01-07,47.10396,target
2026-01-08,46.53125,target
2026-01-09,44.84685,target
2026-01-10,46.67532,target
2026-01-11,50.55331,target
2026-01-12,48.04329,target
2026-01-13,45.98758,target
2026-01-14,45.61102,target
2026-01-15,45.60896,target
2026-01-16,44.3236,target
2026-01-17,46.50521,target
2026-01-18,49.18046,target
2026-01-19,47.0234,target
2026-01-20,44.52931,target
2026-01-21,42.5978,target
2026-01-22,41.84712,target
2026-01-23,40.4072,target
2026-01-24,43.03094,target
2026-01-25,46.7081,target
2026-01-26,44.83355,target
2026-01-27,43.29978,target
2026-01-28,43.53245,target
2026-01-29,43.30184,target
2026-01-30,41.7911,target
2026-01-31,44.8506,target
2026-02-01,48.79435,target
2026-02-02,45.04131,target
2026-02-03,44.38974,target
2026-02-04,42.9249,target
2026-02-05,41.4878,target
2026-02-06,40.24703,target
2026-02-07,42.60829,target
2026-02-08,46.39693,target
2026-02-09,43.92063,target
2026-02-10,41.06646,target
2026-02-11,39.69249,target
2026-02-12,38.31871,target
